Final State Abbreviation Standard,Final County,CNT
VC,Province of Alicante County,1
VC,Province of Alicante County,1
#FIELD!,#FIELD!,2
NH,Hillsborough County,64
NH,Rockingham County,7
NH,Hillsborough County,19
NH,Rockingham County,33
NH,Rockingham County,12
NH,Rockingham County,23
NH,Rockingham County,274
NH,Rockingham County,58
NH,Hillsborough County,10
NH,Rockingham County,21
NH,Hillsborough County,144
NH,Merrimack County,6
NH,Hillsborough County,8
NH,Hillsborough County,11
NH,Hillsborough County,20
NH,Hillsborough County,312
NH,Hillsborough County,34
NH,Rockingham County,285
NH,Hillsborough County,207
NH,Hillsborough County,137
NH,Hillsborough County,5
NH,Hillsborough County,602
NH,Hillsborough County,227
NH,Hillsborough County,194
NH,Hillsborough County,146
NH,Hillsborough County,17
NH,Hillsborough County,29
NH,Hillsborough County,78
NH,Rockingham County,111
NH,Rockingham County,392
NH,Hillsborough County,3
NH,Hillsborough County,7
NH,Hillsborough County,17
NH,Rockingham County,97
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,1
NH,Hillsborough County,237
NH,Hillsborough County,593
NH,Hillsborough County,828
NH,Hillsborough County,443
NH,Merrimack County,197
NH,Hillsborough County,106
NH,Hillsborough County,505
#FIELD!,#FIELD!,1
VC,Province of Alicante County,1
NH,Grafton County,6
NH,Merrimack County,26
NH,Grafton County,19
NH,Belknap County,3
NH,Belknap County,74
NH,Merrimack County,7
NH,Grafton County,41
NH,Grafton County,9
NH,Merrimack County,10
NH,Belknap County,29
NH,Belknap County,5
NH,Carroll County,3
NH,Merrimack County,27
NH,Merrimack County,11
NH,Merrimack County,2
NH,Merrimack County,36
NH,Merrimack County,74
NH,Belknap County,9
NH,Grafton County,4
NH,Grafton County,1
NH,Merrimack County,29
NH,Merrimack County,2
NH,Hillsborough County,46
NH,Grafton County,9
NH,Belknap County,176
NH,Belknap County,53
NH,Grafton County,19
NH,Belknap County,43
NH,Carroll County,80
NH,Merrimack County,16
NH,Belknap County,16
NH,Merrimack County,17
NH,Merrimack County,12
NH,Carroll County,1
NH,Merrimack County,7
NH,Rockingham County,28
NH,Grafton County,7
NH,Merrimack County,30
NH,Grafton County,57
NH,Grafton County,14
NH,Merrimack County,4
NH,Belknap County,19
NH,Merrimack County,1
NH,Merrimack County,111
NH,Belknap County,106
NH,Merrimack County,9
NH,Grafton County,3
NH,Sullivan County,6
NH,Hillsborough County,148
NH,Grafton County,7
NH,Sullivan County,3
NH,Grafton County,10
NH,Merrimack County,5
NH,Rockingham County,32
NH,Merrimack County,373
NH,Merrimack County,173
NH,Merrimack County,38
NH,Merrimack County,24
#FIELD!,#FIELD!,1
NH,Cheshire County,251
NH,Hillsborough County,15
NH,Cheshire County,5
NH,Hillsborough County,12
NH,Cheshire County,4
NH,Cheshire County,7
NH,Cheshire County,2
NH,Cheshire County,63
NH,Cheshire County,21
NH,Cheshire County,4
NH,Hillsborough County,14
NH,Cheshire County,3
NH,Cheshire County,44
NH,Cheshire County,79
NH,Cheshire County,15
NH,Cheshire County,1
NH,Cheshire County,5
NH,Hillsborough County,34
NH,Cheshire County,27
NH,Cheshire County,3
NH,Cheshire County,6
NH,Cheshire County,10
NH,Cheshire County,4
NH,Cheshire County,4
NH,Cheshire County,47
NH,Grafton County,73
NH,Coos County,141
NH,Grafton County,18
NH,Coos County,11
NH,Coos County,29
NH,Coos County,3
NH,Grafton County,13
NH,Coos County,157
NH,Coos County,46
NH,Coos County,10
NH,Coos County,36
NH,Grafton County,19
NH,Grafton County,1
NH,Coos County,7
NH,Coos County,21
NH,Coos County,6
NH,Coos County,4
NH,Coos County,8
NH,Coos County,1
NH,Coos County,26
NH,Sullivan County,1
NH,Cheshire County,5
NH,Sullivan County,24
NH,Cheshire County,1
NH,Sullivan County,2
NH,Sullivan County,4
NH,Cheshire County,18
NH,Cheshire County,8
VC,Province of Alicante County,1
ME,Grafton County,9
NH,Grafton County,59
NH,Sullivan County,192
NH,Sullivan County,22
NH,Sullivan County,73
NH,Grafton County,28
NH,Grafton County,1
NH,Grafton County,8
NH,Sullivan County,5
NH,Sullivan County,18
NH,Sullivan County,93
PA,Grafton County,16
NH,Grafton County,7
NH,Grafton County,2
NH,Grafton County,97
NH,Grafton County,3
NH,Sullivan County,51
NH,Grafton County,8
NH,Sullivan County,95
NH,Grafton County,20
NH,Grafton County,1
NH,Grafton County,1
NH,Grafton County,1
NH,Sullivan County,11
NH,Sullivan County,17
NH,Grafton County,46
NH,Grafton County,15
VC,Province of Alicante County,1
NH,Rockingham County,304
NH,Belknap County,13
NH,Belknap County,11
NH,Rockingham County,33
NH,Carroll County,13
NH,Carroll County,18
NH,Carroll County,92
NH,Carroll County,51
NH,Carroll County,18
NH,Rockingham County,36
NH,Strafford County,246
#FIELD!,#FIELD!,22
NH,Strafford County,42
NH,Strafford County,52
NH,Rockingham County,8
NH,Rockingham County,15
NH,Carroll County,13
NH,Carroll County,2
NH,Rockingham County,117
NH,Strafford County,124
NH,Carroll County,10
NH,Belknap County,6
NH,Carroll County,8
NH,Strafford County,60
NH,Rockingham County,11
NH,Rockingham County,30
NH,Rockingham County,98
NH,Rockingham County,14
NH,Carroll County,5
NH,Carroll County,5
NH,Carroll County,1
NH,Rockingham County,31
NH,Carroll County,6
NH,Carroll County,3
NH,Strafford County,31
NH,Strafford County,8
NH,Carroll County,4
NH,Rockingham County,2
NH,Strafford County,17
NH,Rockingham County,2
NH,Rockingham County,47
NH,Rockingham County,23
